Station,YEAR,MONTH,LON,LAT,T_MAX,T_MIN,T_MEAN,T_AVG
Utqiagvik,2002,9,-156.611,71.3213,4.2,0.6,2.4,2.4
Utqiagvik,2002,10,-156.611,71.3213,-2.5,-6.2,-4.3,-4.3
Utqiagvik,2002,11,-156.611,71.3213,-11.4,-16.3,-13.9,-13.8
Utqiagvik,2002,12,-156.611,71.3213,-16,-22.1,-19,-18.8
Utqiagvik,2003,1,-156.611,71.3213,-21,-27.8,-24.4,-23.9
Utqiagvik,2003,2,-156.611,71.3213,-24.2,-29.7,-27,-26.8
Utqiagvik,2003,3,-156.611,71.3213,-21.1,-27.8,-24.5,-24.1
Utqiagvik,2003,4,-156.611,71.3213,-10.3,-16.7,-13.5,-13.5
Utqiagvik,2003,5,-156.611,71.3213,-4,-8.2,-6.1,-5.8
Utqiagvik,2003,6,-156.611,71.3213,2.6,-1.4,0.6,0.6
Utqiagvik,2003,7,-156.611,71.3213,8,1.4,4.7,4.3
Utqiagvik,2003,8,-156.611,71.3213,4.1,0,2,2
Utqiagvik,2003,9,-156.611,71.3213,1.4,-1.3,0.1,0.1
Utqiagvik,2003,10,-156.611,71.3213,-2.5,-6.5,-4.5,-4.1
Utqiagvik,2003,11,-156.611,71.3213,-12.3,-20.6,-16.5,-16.3
Utqiagvik,2003,12,-156.611,71.3213,-19.1,-25.3,-22.2,-22.2
Utqiagvik,2004,1,-156.611,71.3213,-20.1,-25.9,-23,-22.9
Utqiagvik,2004,2,-156.611,71.3213,-28.7,-33.7,-31.2,-31.2
Utqiagvik,2004,3,-156.611,71.3213,-22.8,-30.9,-26.8,-26.6
Utqiagvik,2004,4,-156.611,71.3213,-14.4,-21.7,-18.1,-17.7
Utqiagvik,2004,5,-156.611,71.3213,-3,-7.6,-5.3,-4.9
Utqiagvik,2004,6,-156.611,71.3213,5.5,-0.1,2.7,2.4
Utqiagvik,2004,7,-156.611,71.3213,8.5,2.1,5.3,5.1
Utqiagvik,2004,8,-156.611,71.3213,8.6,3.9,6.2,6.4
Utqiagvik,2004,9,-156.611,71.3213,2.4,-1,0.7,0.8
Utqiagvik,2004,10,-156.611,71.3213,-3.7,-7.6,-5.7,-5.6
Utqiagvik,2004,11,-156.611,71.3213,-13.9,-19.3,-16.6,-16.5
Utqiagvik,2004,12,-156.611,71.3213,-19.5,-26.6,-23.1,-22.9
Utqiagvik,2005,1,-156.611,71.3213,-18.9,-26.5,-22.7,-22.6
Utqiagvik,2005,2,-156.611,71.3213,-22.4,-28.8,-25.6,-25.1
Utqiagvik,2005,3,-156.611,71.3213,-19.5,-26.1,-22.8,-22.7
Utqiagvik,2005,4,-156.611,71.3213,-13.7,-20.8,-17.3,-16.8
Utqiagvik,2005,5,-156.611,71.3213,-4.1,-7.7,-5.9,-5.7
Utqiagvik,2005,6,-156.611,71.3213,2.1,-1.8,0.1,0.1
Utqiagvik,2005,7,-156.611,71.3213,5.2,0.9,3.1,3
Utqiagvik,2005,8,-156.611,71.3213,7.5,2.7,5.1,5.1
Utqiagvik,2005,9,-156.611,71.3213,2,-0.5,0.8,0.8
Utqiagvik,2005,10,-156.611,71.3213,-3.8,-7.7,-5.7,-5.5
Utqiagvik,2005,11,-156.611,71.3213,-15.4,-22.7,-19.1,-19
Utqiagvik,2005,12,-156.611,71.3213,-16.9,-23.6,-20.2,-20
Utqiagvik,2006,1,-156.611,71.3213,-21.3,-28.2,-24.7,-24.5
Utqiagvik,2006,2,-156.611,71.3213,-9999,-9999,-9999,-9999
Utqiagvik,2006,3,-156.611,71.3213,-24.9,-31.6,-28.3,-27.9
Utqiagvik,2006,4,-156.611,71.3213,-17.1,-24.3,-20.7,-20.4
Utqiagvik,2006,5,-156.611,71.3213,-2.8,-6.8,-4.8,-4.5
Utqiagvik,2006,6,-156.611,71.3213,6,-0.6,2.7,2.6
Utqiagvik,2006,7,-156.611,71.3213,6.3,0.9,3.6,3.3
Utqiagvik,2006,8,-156.611,71.3213,4.2,0.1,2.2,2.2
Utqiagvik,2006,9,-156.611,71.3213,4.5,-0.3,2.1,2
Utqiagvik,2006,10,-156.611,71.3213,-2,-5.2,-3.6,-3.3
Utqiagvik,2006,11,-156.611,71.3213,-11.5,-17.3,-14.4,-14
Utqiagvik,2006,12,-156.611,71.3213,-16.3,-23.5,-19.9,-19.4
Utqiagvik,2007,1,-156.611,71.3213,-23.6,-30.4,-27,-26.8
Utqiagvik,2007,2,-156.611,71.3213,-20.6,-27.6,-24.1,-24.1
Utqiagvik,2007,3,-156.611,71.3213,-23.5,-30.7,-27.1,-26.8
Utqiagvik,2007,4,-156.611,71.3213,-10.8,-16.9,-13.8,-13.4
Utqiagvik,2007,5,-156.611,71.3213,-6.6,-11.5,-9.1,-8.6
Utqiagvik,2007,6,-156.611,71.3213,3.3,-0.6,1.3,1.3
Utqiagvik,2007,7,-156.611,71.3213,8.4,3.2,5.8,5.7
Utqiagvik,2007,8,-156.611,71.3213,9.2,4.2,6.7,6.9
Utqiagvik,2007,9,-156.611,71.3213,5,1.2,3.1,3.1
Utqiagvik,2007,10,-156.611,71.3213,-3.4,-6.6,-5,-4.7
Utqiagvik,2007,11,-156.611,71.3213,-7.9,-13.2,-10.5,-10.2
Utqiagvik,2007,12,-156.611,71.3213,-14.9,-22.5,-18.7,-18.3
Utqiagvik,2008,1,-156.611,71.3213,-24,-31.8,-27.9,-28
Utqiagvik,2008,2,-156.611,71.3213,-22.7,-30.4,-26.6,-26.1
Utqiagvik,2008,3,-156.611,71.3213,-24.3,-31.5,-27.9,-27.7
Utqiagvik,2008,4,-156.611,71.3213,-9.9,-18.3,-14.1,-13.4
Utqiagvik,2008,5,-156.611,71.3213,-4.1,-8.4,-6.3,-6
Utqiagvik,2008,6,-156.611,71.3213,4.1,-0.6,1.8,1.7
Utqiagvik,2008,7,-156.611,71.3213,5.8,1.3,3.5,3.4
Utqiagvik,2008,8,-156.611,71.3213,4.6,0.7,2.7,2.6
Utqiagvik,2008,9,-156.611,71.3213,2.1,-0.5,0.8,0.9
Utqiagvik,2008,10,-156.611,71.3213,-3.2,-8.5,-5.8,-5.2
Utqiagvik,2008,11,-156.611,71.3213,-13.6,-19,-16.3,-16
Utqiagvik,2008,12,-156.611,71.3213,-14,-22.6,-18.3,-17.3
Utqiagvik,2009,1,-156.611,71.3213,-21.6,-29.9,-25.8,-25.8
Utqiagvik,2009,2,-156.611,71.3213,-23.2,-31.9,-27.6,-27.6
Utqiagvik,2009,3,-156.611,71.3213,-24.2,-31.4,-27.8,-27.6
Utqiagvik,2009,4,-156.611,71.3213,-13.2,-20.9,-17.1,-16.5
Utqiagvik,2009,5,-156.611,71.3213,-2.1,-7.2,-4.7,-4.5
Utqiagvik,2009,6,-156.611,71.3213,2.7,-1.2,0.7,0.6
Utqiagvik,2009,7,-156.611,71.3213,8.3,2.3,5.3,5
Utqiagvik,2009,8,-156.611,71.3213,7.7,2.1,4.9,4.8
Utqiagvik,2009,9,-156.611,71.3213,2.6,-0.5,1,1.1
Utqiagvik,2009,10,-156.611,71.3213,-2.3,-6.5,-4.4,-4
Utqiagvik,2009,11,-156.611,71.3213,-14.9,-20.9,-17.9,-17.4
Utqiagvik,2009,12,-156.611,71.3213,-16.3,-24.9,-20.6,-19.8
Utqiagvik,2010,1,-156.611,71.3213,-23.8,-32.8,-28.3,-27.9
Utqiagvik,2010,2,-156.611,71.3213,-20.4,-27.2,-23.8,-23.9
Utqiagvik,2010,3,-156.611,71.3213,-20.3,-28,-24.2,-23.9
Utqiagvik,2010,4,-156.611,71.3213,-10.1,-18.2,-14.1,-13.5
Utqiagvik,2010,5,-156.611,71.3213,-5.4,-9.7,-7.5,-7.3
Utqiagvik,2010,6,-156.611,71.3213,1.8,-1.5,0.1,0.1
Utqiagvik,2010,7,-156.611,71.3213,7.6,2.3,5,4.9
Utqiagvik,2010,8,-156.611,71.3213,7.8,3.3,5.6,5.5
Utqiagvik,2010,9,-156.611,71.3213,4.8,0.4,2.6,2.7
Utqiagvik,2010,10,-156.611,71.3213,-3.4,-6.6,-5,-4.9
Utqiagvik,2010,11,-156.611,71.3213,-9.3,-14.8,-12.1,-11.7
Utqiagvik,2010,12,-156.611,71.3213,-19.7,-27.5,-23.6,-23.4
Utqiagvik,2011,1,-156.611,71.3213,-18.9,-27.2,-23,-23
Utqiagvik,2011,2,-156.611,71.3213,-16.5,-26.9,-21.7,-21.3
Utqiagvik,2011,3,-156.611,71.3213,-17.3,-26.6,-21.9,-21.6
Utqiagvik,2011,4,-156.611,71.3213,-14.6,-24.4,-19.5,-18.8
Utqiagvik,2011,5,-156.611,71.3213,-3.9,-8.2,-6,-5.8
Utqiagvik,2011,6,-156.611,71.3213,2.6,-1.2,0.7,0.6
Utqiagvik,2011,7,-156.611,71.3213,7,2.6,4.8,4.5
Utqiagvik,2011,8,-156.611,71.3213,7.1,3.4,5.2,5.2
Utqiagvik,2011,9,-156.611,71.3213,3.9,0.7,2.3,2.5
Utqiagvik,2011,10,-156.611,71.3213,-2.6,-7.1,-4.9,-4.3
Utqiagvik,2011,11,-156.611,71.3213,-14.8,-22.1,-18.5,-18.3
Utqiagvik,2011,12,-156.611,71.3213,-20.5,-27,-23.8,-23.6
Utqiagvik,2012,1,-156.611,71.3213,-26,-33.4,-29.7,-29.4
Utqiagvik,2012,2,-156.611,71.3213,-22.1,-28.4,-25.3,-24.5
Utqiagvik,2012,3,-156.611,71.3213,-27.8,-34.9,-31.3,-31.3
Utqiagvik,2012,4,-156.611,71.3213,-12.6,-19,-15.8,-15.4
Utqiagvik,2012,5,-156.611,71.3213,-4.3,-8.9,-6.6,-6.2
Utqiagvik,2012,6,-156.611,71.3213,4.3,0,2.1,2
Utqiagvik,2012,7,-156.611,71.3213,9.4,2.3,5.8,5.5
Utqiagvik,2012,8,-156.611,71.3213,10.2,3.9,7,7
Utqiagvik,2012,9,-156.611,71.3213,2.8,-0.1,1.4,1.4
Utqiagvik,2012,10,-156.611,71.3213,-0.4,-5.3,-2.9,-2.3
Utqiagvik,2012,11,-156.611,71.3213,-11.2,-18.9,-15,-14.5
Utqiagvik,2012,12,-156.611,71.3213,-20.7,-26.4,-23.6,-23.5
Utqiagvik,2013,1,-156.611,71.3213,-21.1,-25.6,-23.4,-23.3
Utqiagvik,2013,2,-156.611,71.3213,-26.2,-30.7,-28.4,-28.3
Utqiagvik,2013,3,-156.611,71.3213,-19.2,-25.7,-22.4,-22
Utqiagvik,2013,4,-156.611,71.3213,-14.7,-22.6,-18.7,-18.2
Utqiagvik,2013,5,-156.611,71.3213,-3.7,-8.6,-6.2,-5.9
Utqiagvik,2013,6,-156.611,71.3213,5.7,-0.6,2.6,2.1
Utqiagvik,2013,7,-156.611,71.3213,8.3,2.4,5.3,5
Utqiagvik,2013,8,-156.611,71.3213,4.9,1.4,3.2,3.2
Utqiagvik,2013,9,-156.611,71.3213,0.6,-3.1,-1.2,-1
Utqiagvik,2013,10,-156.611,71.3213,-1.9,-6.4,-4.1,-3.6
Utqiagvik,2013,11,-156.611,71.3213,-10.1,-17.7,-13.9,-13.8
Utqiagvik,2013,12,-156.611,71.3213,-15.7,-23.7,-19.7,-19.2
Utqiagvik,2014,1,-156.611,71.3213,-18.9,-24.8,-21.8,-22
Utqiagvik,2014,2,-156.611,71.3213,-18.3,-26.5,-22.4,-22.5
Utqiagvik,2014,3,-156.611,71.3213,-17.3,-25.3,-21.3,-20.9
Utqiagvik,2014,4,-156.611,71.3213,-12,-21.3,-16.6,-15.6
Utqiagvik,2014,5,-156.611,71.3213,-1.8,-6.1,-4,-3.5
Utqiagvik,2014,6,-156.611,71.3213,1.8,-1.1,0.3,0.2
Utqiagvik,2014,7,-156.611,71.3213,5,0.3,2.7,2.3
Utqiagvik,2014,8,-156.611,71.3213,5.3,0.6,2.9,2.9
Utqiagvik,2014,9,-156.611,71.3213,2.3,-0.7,0.8,0.9
Utqiagvik,2014,10,-156.611,71.3213,-3.9,-8.2,-6,-5.6
Utqiagvik,2014,11,-156.611,71.3213,-9.3,-15.4,-12.3,-12.2
Utqiagvik,2014,12,-156.611,71.3213,-18.8,-25,-21.9,-21.8
Utqiagvik,2015,1,-156.611,71.3213,-20.1,-27.3,-23.7,-23.5
Utqiagvik,2015,2,-156.611,71.3213,-18,-26.1,-22,-21.8
Utqiagvik,2015,3,-156.611,71.3213,-21.3,-27.9,-24.6,-24.2
Utqiagvik,2015,4,-156.611,71.3213,-11.6,-18.2,-14.9,-14.3
Utqiagvik,2015,5,-156.611,71.3213,-0.5,-4.6,-2.6,-2.5
Utqiagvik,2015,6,-156.611,71.3213,7.8,0.8,4.3,3.8
Utqiagvik,2015,7,-156.611,71.3213,6.4,1.8,4.1,4.1
Utqiagvik,2015,8,-156.611,71.3213,5.6,1.2,3.4,3.5
Utqiagvik,2015,9,-156.611,71.3213,1,-2,-0.5,-0.4
Utqiagvik,2015,10,-156.611,71.3213,-4.4,-8.1,-6.3,-5.8
Utqiagvik,2015,11,-156.611,71.3213,-13.2,-18.9,-16.1,-16
Utqiagvik,2015,12,-156.611,71.3213,-20.9,-26.8,-23.8,-23.6
Utqiagvik,2016,1,-156.611,71.3213,-15,-21.4,-18.2,-18.2
Utqiagvik,2016,2,-156.611,71.3213,-17.6,-22.5,-20,-19.9
Utqiagvik,2016,3,-156.611,71.3213,-20.1,-25.4,-22.8,-22.5
Utqiagvik,2016,4,-156.611,71.3213,-10.3,-14.5,-12.4,-12.2
Utqiagvik,2016,5,-156.611,71.3213,-0.9,-4.3,-2.6,-2.6
Utqiagvik,2016,6,-156.611,71.3213,5,-1.1,1.9,1.5
Utqiagvik,2016,7,-156.611,71.3213,8.5,1.5,5,4.7
Utqiagvik,2016,8,-156.611,71.3213,5.4,0.8,3.1,3
Utqiagvik,2016,9,-156.611,71.3213,1.8,-1.6,0.1,0.2
Utqiagvik,2016,10,-156.611,71.3213,-0.3,-3.9,-2.1,-1.9
Utqiagvik,2016,11,-156.611,71.3213,-7.9,-15,-11.5,-11
Utqiagvik,2016,12,-156.611,71.3213,-14.7,-23.5,-19.1,-18.8
Utqiagvik,2017,1,-156.611,71.3213,-14.9,-24.4,-19.7,-19.1
Utqiagvik,2017,2,-156.611,71.3213,-18.5,-26.7,-22.6,-21.6
Utqiagvik,2017,3,-156.611,71.3213,-18.7,-28.2,-23.5,-23
Utqiagvik,2017,4,-156.611,71.3213,-11,-18.2,-14.6,-14.4
Utqiagvik,2017,5,-156.611,71.3213,-3.4,-6.3,-4.8,-4.7
Utqiagvik,2017,6,-156.611,71.3213,2.7,-1.8,0.5,0.3
Utqiagvik,2017,7,-156.611,71.3213,10.6,3.7,7.2,6.9
Utqiagvik,2017,8,-156.611,71.3213,6.5,2.5,4.5,4.4
Utqiagvik,2017,9,-156.611,71.3213,3.5,0.2,1.8,2
Utqiagvik,2017,10,-156.611,71.3213,-1.5,-6.6,-4,-3.8
Utqiagvik,2017,11,-156.611,71.3213,-5.9,-11.4,-8.7,-8.6
Utqiagvik,2017,12,-156.611,71.3213,-12.3,-18.2,-15.2,-15.1
Utqiagvik,2018,1,-156.611,71.3213,-17.8,-24.5,-21.2,-21
Utqiagvik,2018,2,-156.611,71.3213,-11.7,-21,-16.4,-16.5
Utqiagvik,2018,3,-156.611,71.3213,-14.6,-22.8,-18.7,-18.4
Utqiagvik,2018,4,-156.611,71.3213,-11.3,-19,-15.1,-14.9
Utqiagvik,2018,5,-156.611,71.3213,-4.2,-9.5,-6.9,-6.6
Utqiagvik,2018,6,-156.611,71.3213,1.3,-2.2,-0.5,-0.3
Utqiagvik,2018,7,-156.611,71.3213,8.5,2,5.2,5.2
Utqiagvik,2018,8,-156.611,71.3213,3.9,0.2,2.1,2.1
Utqiagvik,2018,9,-156.611,71.3213,3.4,-0.4,1.5,1.6
Utqiagvik,2018,10,-156.611,71.3213,-1.7,-5.6,-3.7,-3.5
Utqiagvik,2018,11,-156.611,71.3213,-10.4,-16.6,-13.5,-13.2ÃŸ